place_id,name,address,lat,lng,types,website,phone,rating,user_ratings_total,opening_hours,photo_url,borough,summary,DJs,Jukebox,Karaoke,Live Music,Cocktails,Craft Beer,Craft Ales,Draught,Non-Alcoholic,Real Ale,Spirits,Taproom,Wine,Bar Snacks,Bottomless Brunch,Bring Your Own Food,Burgers,Chips,English Breakfast,Fish and Chips,Gluten-Free Options,Kids Menu,Outdoor Food Service,Pie,Pizza,Sandwiches,Steak,Street Food Vendor,Sunday Roast,Thai,Vegetarian Options,Wings,Beer Garden,Heating,In the Sun,Large Space (20+ People),Outdoor Viewing,Outside Bar,River View,Rooftop,Small Space (<20 People),Street Seating,Under Cover,Amazon Sports,Six Nations,Sky Sports,TNT Sports,Terrestrial TV,Car Park,Child Friendly,Dance Floor,Disabled Access,Dog Friendly,Open Past Midnight,Open Past Midnight (Weekends),Table Booking,Bargain,Premium,The Norm,Beer Pong,Billiards,Board Games,Darts,Game Machines,Ping Pong,Pool Table,Pub Quiz,Shuffleboard,Slot Machines,Table Football,Booths,Fireplace,Sofas,Stools at the Bar
ChIJwdAykNgbdkgRqpNgnyGjekc,Hop and Hemp Brew Co,"8 Ely Pl, London EC1N 6RY, UK",51.5182967,-0.1072171,"establishment,food,point_of_interest",,,5,1,Monday: 9:00 AM – 5:00 PM;Tuesday: 9:00 AM – 5:00 PM;Wednesday: 9:00 AM – 5:00 PM;Thursday: 9:00 AM – 5:00 PM;Friday: 9:00 AM – 5:00 PM;Saturday: Closed;Sunday: Closed,/api/photo-by-place?place_id=ChIJwdAykNgbdkgRqpNgnyGjekc&w=480,Camden,"Hop and Hemp Brew Co, located at 8 Ely Place in London, is a highly-rated venue with a perfect Google rating of 5. This establishment is gaining attention for its unique offerings, although it currently has only one review. Visitors can expect a welcoming atmosphere as they explore the innovative brews available.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJK3KVk04bdkgR0VwMj4B3w3M,Public House,"Hatton Wall, London EC1N 7TR, UK",51.5212894,-0.1096649,"bar,establishment,point_of_interest",,,5,2,,/api/photo-by-place?place_id=ChIJK3KVk04bdkgR0VwMj4B3w3M&w=480,Camden,"Public House, located on Hatton Wall in London, boasts a perfect Google rating of 5 based on its limited but positive reviews. This venue offers a welcoming atmosphere, making it a noteworthy stop for locals and visitors alike. While specific amenities are not listed, its high rating suggests a commitment to quality service and customer satisfaction.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJU5SGUgADdkgRnHZfxog8JyQ,The Kernel Brewery,"Arch 11 Spa Arch Lane, London SE16 3FJ, UK",51.4957438,-0.0687193,"establishment,food,point_of_interest",http://www.thekernelbrewery.com/,020 7231 4516,3,2,Monday: 9:00 AM – 5:00 PM;Tuesday: 9:00 AM – 5:00 PM;Wednesday: 9:00 AM – 5:00 PM;Thursday: 9:00 AM – 5:00 PM;Friday: 9:00 AM – 5:00 PM;Saturday: Closed;Sunday: Closed,/api/photo-by-place?place_id=ChIJU5SGUgADdkgRnHZfxog8JyQ&w=480,Southwark,"The Kernel Brewery, located at Arch 11 Spa Arch Lane in London, is a notable establishment in the local craft beer scene. With a Google rating of 3 and two reviews, it offers a unique experience for beer enthusiasts looking to explore a variety of brews. While specific amenities are not listed, the brewery's focus on quality and craftsmanship makes it a worthwhile visit for those interested in artisanal beverages.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJV7gqj6IRdkgROm5yW8QAm5g,Public House Group | Head Office,"72, 75 Marylebone High St, London W1U 5JW, UK",51.5211051,-0.1521262,"bar,establishment,point_of_interest",https://www.publichousegroup.com/,,1,2,Monday: 9:00 AM – 6:00 PM;Tuesday: 9:00 AM – 6:00 PM;Wednesday: 9:00 AM – 6:00 PM;Thursday: 9:00 AM – 6:00 PM;Friday: 9:00 AM – 6:00 PM;Saturday: Closed;Sunday: Closed,/api/photo-by-place?place_id=ChIJV7gqj6IRdkgROm5yW8QAm5g&w=480,Westminster,"Public House Group's Head Office, located at 72-75 Marylebone High Street in London, offers a diverse menu featuring cocktails, wine, and a variety of hearty dishes including burgers, pies, and pizzas. Despite its central location, it currently holds a low Google rating of 1, with only two reviews available. The venue aims to provide a casual dining experience, catering to a range of tastes.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ChIJ_b1Qaueo2EcRvzCmFofEmMM,Lord Herbert Beer Garden,"47 Herbert Rd, London SE18 3SZ, UK",51.479631,0.0690955,"bar,establishment,food,point_of_interest,restaurant",,,5,2,Monday: 12:00 – 10:30 PM;Tuesday: 12:00 – 10:30 PM;Wednesday: 12:00 – 10:30 PM;Thursday: 12:00 – 10:30 PM;Friday: 12:00 – 10:30 PM;Saturday: 12:00 – 10:30 PM;Sunday: 12:00 – 10:30 PM,/api/photo-by-place?place_id=ChIJ_b1Qaueo2EcRvzCmFofEmMM&w=480,Greenwich,"The Lord Herbert Beer Garden, located at 47 Herbert Rd in London SE18 3SZ, is a highly-rated venue boasting a perfect Google rating of 5 based on two reviews. This inviting beer garden offers a relaxed atmosphere for patrons looking to enjoy a drink in a pleasant outdoor setting. While specific amenities are not listed, the venue's positive reception suggests a welcoming experience for visitors.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ3yeUd0oDdkgRSowz3FntL0o,Burton Brewed Pale & Old Ales,"Princess Of Prussia, 15 Prescot St, London E1 8AZ, UK",51.5116321,-0.0705376,"bar,establishment,point_of_interest",,,5,4,,/api/photo-by-place?place_id=ChIJ3yeUd0oDdkgRSowz3FntL0o&w=480,Tower Hamlets,"Burton Brewed Pale & Old Ales is a highly-rated pub located at the Princess Of Prussia on Prescot Street in London. With a perfect Google rating of 5 based on four reviews, it is recognized for its inviting atmosphere and selection of ales. This venue offers a unique experience for beer enthusiasts looking to explore a variety of pale and old ales in a charming setting.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ72BB1J0bdkgR63fA3xOSKEY,The Brew Bar - UCL,"22 Gordon St, London WC1H 0QB, UK",51.5258482,-0.1328364,"cafe,establishment,food,point_of_interest,store",https://www.foodatucl.com/the-brew-bar/,,4.8,4,Monday: 9:00 AM – 5:00 PM;Tuesday: 9:00 AM – 5:00 PM;Wednesday: 9:00 AM – 5:00 PM;Thursday: 9:00 AM – 5:00 PM;Friday: 9:00 AM – 5:00 PM;Saturday: Closed;Sunday: Closed,/api/photo-by-place?place_id=ChIJ72BB1J0bdkgR63fA3xOSKEY&w=480,Camden,"The Brew Bar - UCL, located at 22 Gordon St, London, boasts a Google rating of 4.8 based on four reviews. This venue offers a variety of amenities, including non-alcoholic options, burgers, sandwiches, and vegetarian choices, making it a versatile spot for casual dining. With a street food vendor presence and covered seating, it provides a comfortable atmosphere for patrons looking to enjoy a meal or drink.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ-SmhcIio2EcRpjwqLR7AgOM,Big Penny Brews,"Hartmann Rd, London E16 2PX, UK",51.504094,0.0491139,"bar,establishment,point_of_interest",,,4.2,5,,/api/photo-by-place?place_id=ChIJ-SmhcIio2EcRpjwqLR7AgOM&w=480,Newham,"Big Penny Brews is a pub located on Hartmann Road in London, E16 2PX. With a Google rating of 4.2 based on five reviews, it offers a welcoming atmosphere for patrons. While specific amenities are not listed, the venue is known for its community vibe and selection of brews.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJYew0Oz8MdkgRB8Nn0bO_OxU,Richmond Brewery Stores,"Richmond TW10 6UW, UK",51.4558826,-0.3033365,"establishment,lodging,point_of_interest",,,4,5,Monday: 9:00 AM – 5:15 PM;Tuesday: 9:00 AM – 5:15 PM;Wednesday: 9:00 AM – 5:15 PM;Thursday: 9:00 AM – 5:15 PM;Friday: 9:00 AM – 5:00 PM;Saturday: Closed;Sunday: Closed,/api/photo-by-place?place_id=ChIJYew0Oz8MdkgRB8Nn0bO_OxU&w=480,Richmond upon Thames,"Richmond Brewery Stores, located in Richmond TW10 6UW, UK, offers a cozy atmosphere for visitors looking to enjoy a local brew. With a Google rating of 4 based on five reviews, it is recognized for its welcoming environment. While specific amenities are not detailed, the venue is a notable spot for those exploring the area's vibrant pub scene.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJj_ddAxEbdkgRDkgt8xiajDY,Liquid Meal,"Newmarket Ale House, 17 York Wy, London N7 9QG, UK",51.54322,-0.1261384,"bar,establishment,food,point_of_interest,restaurant",,,5,5,Monday: 12:00 – 10:00 PM;Tuesday: 12:00 – 10:00 PM;Wednesday: 12:00 – 10:00 PM;Thursday: 12:00 – 10:00 PM;Friday: 12:00 – 10:00 PM;Saturday: Closed;Sunday: 12:00 – 10:00 PM,/api/photo-by-place?place_id=ChIJj_ddAxEbdkgRDkgt8xiajDY&w=480,Camden,"Liquid Meal, located within the Newmarket Ale House at 17 York Way in London, boasts a perfect Google rating of 5 based on five reviews. This venue is recognized for its inviting atmosphere and quality offerings, making it a notable spot for locals and visitors alike. Though specific amenities are not listed, its high rating suggests a commitment to customer satisfaction.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
